#iter   time                    x         y         z      curl_n  polarity     eig0_re     eig0_im     eig1_re     eig1_im  type
0       7.322257e-04     -17.3421  -24.6156  -50.0000     -0.0000      -1.0     -0.0002      0.0000      0.0000      0.0000  saddle
0       7.322257e-04     -27.7459  -22.8297  -50.0000      0.0001      -1.0      0.0002      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04     -16.0867    8.7971  -50.0000      0.0000      -1.0      0.0000      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      21.6964   -4.3582  -50.0000      0.0000      -1.0     -0.0000      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      -7.0141    9.2497  -50.0000     -0.0001      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      -8.6753    6.8182  -50.0000     -0.0000      -1.0     -0.0001      0.0000     -0.0001      0.0000  sink
0       7.322257e-04      -3.1474  -20.5718  -50.0000      0.0000      -1.0      0.0000      0.0000      0.0001      0.0000  source
0       7.322257e-04      -5.2527  -18.7598  -50.0000     -0.0000      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04     -10.0926  -29.0243  -50.0000     -0.0001      -1.0      0.0000      0.0000      0.0002      0.0000  source
0       7.322257e-04      11.2807   -0.8302  -50.0000     -0.0000      -1.0     -0.0001      0.0000     -0.0001      0.0000  sink
0       7.322257e-04      -4.6754   33.1173  -50.0000      0.0000      -1.0      0.0001      0.0000      0.0001      0.0000  source
0       7.322257e-04     -14.4880   -8.2691  -50.0000      0.0001      -1.0      0.0001      0.0000     -0.0000      0.0000  saddle
0       7.322257e-04     -39.9814    8.9227  -50.0000     -0.0001      -1.0      0.0000      0.0001      0.0000     -0.0001  spiral source
0       7.322257e-04     -17.4468   30.3095  -50.0000      0.0000      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04     -11.7942   37.6603  -50.0000      0.0001      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
